2025-11-28 17:11:46.187225 | student1 | ['Multiple faces detected']
2025-11-28 17:11:50.890976 | student1 | ['Multiple faces detected']
2025-11-28 17:12:01.594289 | student1 | ['No face detected']
2025-11-28 17:12:03.351292 | student1 | ['No face detected']
2025-11-28 17:12:06.555920 | student1 | ['No face detected']
2025-11-28 17:12:08.370992 | student1 | ['No face detected']
2025-11-28 17:12:17.618034 | student1 | ['Multiple faces detected']
2025-11-28 17:12:32.630868 | student1 | ['Multiple faces detected']
2025-11-28 17:12:33.370394 | student1 | ['Multiple faces detected']
2025-11-28 17:12:37.665845 | student1 | ['No face detected']
2025-11-28 17:12:42.645275 | student1 | ['Multiple faces detected']
2025-11-28 17:12:43.360204 | student1 | ['Multiple faces detected']
2025-11-28 17:12:48.346286 | student1 | ['No face detected']
2025-11-28 17:12:52.595956 | student1 | ['No face detected']
2025-11-28 17:12:53.371838 | student1 | ['No face detected']
2025-11-28 17:12:57.615891 | student1 | ['No face detected']
2025-11-28 17:12:58.468790 | student1 | ['No face detected']
2025-11-28 17:13:13.358137 | student1 | ['No face detected']
2025-11-28 17:13:23.358132 | student1 | ['No face detected']
2025-11-28 17:13:28.368117 | student1 | ['Multiple faces detected']
2025-11-28 17:13:46.583475 | student1 | ['No face detected']
2025-11-28 17:13:51.671976 | student1 | ['Multiple faces detected']
2025-11-28 17:21:46.350172 | student1 | ['No face detected']
2025-11-28 17:21:51.454985 | student1 | ['Multiple faces detected']
2025-11-28 17:21:56.289259 | student1 | ['Multiple faces detected']
2025-11-28 17:22:01.506209 | student1 | ['Multiple faces detected']
2025-11-28 17:22:06.406356 | student1 | ['Multiple faces detected']
2025-11-28 17:22:16.348305 | student1 | ['Multiple faces detected']
2025-12-04 16:06:23.758582 | student1 | ['No face detected']
2025-12-04 17:13:45.184039 | student1 | ['No face detected']
2025-12-04 17:13:56.095621 | student001 | ['Multiple faces detected']
2025-12-04 17:13:56.185691 | student001 | ['Multiple faces detected']
2025-12-04 17:13:56.809902 | student001 | ['Multiple faces detected']
2025-12-04 17:13:57.107466 | student001 | ['Multiple faces detected']
2025-12-04 17:13:57.671636 | student001 | ['Multiple faces detected']
2025-12-04 17:13:57.807699 | student001 | ['Multiple faces detected']
2025-12-04 17:13:58.361931 | student001 | ['Multiple faces detected']
2025-12-04 17:22:37.555842 | student001 | ['Multiple faces detected']
2025-12-04 17:22:37.702332 | student001 | ['Multiple faces detected']
2025-12-04 17:22:37.809350 | student001 | ['Multiple faces detected']
2025-12-04 17:22:37.865418 | student001 | ['Multiple faces detected']
2025-12-04 17:22:38.311749 | student001 | ['Multiple faces detected']
2025-12-04 17:22:38.430877 | student001 | ['Multiple faces detected']
2025-12-04 17:22:38.456691 | student001 | ['Multiple faces detected']
2025-12-04 17:22:38.514141 | student001 | ['Multiple faces detected']
2025-12-04 17:22:38.663755 | student001 | ['Multiple faces detected']
2025-12-04 17:22:38.934774 | student001 | ['Multiple faces detected']
2025-12-04 17:22:39.024709 | student001 | ['Multiple faces detected']
2025-12-04 17:22:39.332364 | student001 | ['Multiple faces detected']
2025-12-04 17:31:40.320816 | student001 | ['No face detected']
2025-12-04 17:31:41.335761 | student001 | ['No face detected']
2025-12-04 17:31:41.626907 | student001 | ['No face detected']
2025-12-04 17:31:41.630897 | student001 | ['No face detected']
2025-12-04 17:31:42.046431 | student001 | ['No face detected']
2025-12-04 17:31:42.481695 | student001 | ['Multiple faces detected']
2025-12-04 17:31:43.041485 | student001 | ['Multiple faces detected']
2025-12-04 17:31:43.252916 | student001 | ['Multiple faces detected']
2025-12-04 17:31:43.767467 | student001 | ['Multiple faces detected']
2025-12-04 17:31:43.903217 | student001 | ['Multiple faces detected']
2025-12-04 17:31:44.001253 | student001 | ['Multiple faces detected']
2025-12-04 17:31:44.235662 | student001 | ['Multiple faces detected']
2025-12-04 17:31:44.728579 | student001 | ['Multiple faces detected']
2025-12-04 17:31:44.856362 | student001 | ['Multiple faces detected']
2025-12-04 17:31:44.988318 | student001 | ['Multiple faces detected']
2025-12-04 17:31:45.207803 | student001 | ['Multiple faces detected']
2025-12-04 17:31:45.257280 | student001 | ['Multiple faces detected']
2025-12-04 17:31:45.303351 | student001 | ['Multiple faces detected']
2025-12-04 17:31:45.395196 | student001 | ['Multiple faces detected']
2025-12-04 17:31:45.509170 | student001 | ['Multiple faces detected']
2025-12-04 17:31:46.144996 | student001 | ['Multiple faces detected']
2025-12-04 17:31:46.294924 | student001 | ['Multiple faces detected']
2025-12-04 17:31:46.318523 | student001 | ['Multiple faces detected']
2025-12-04 17:31:46.524058 | student001 | ['Multiple faces detected']
2025-12-04 17:31:46.646961 | student001 | ['Multiple faces detected']
2025-12-04 17:31:46.891667 | student001 | ['Multiple faces detected']
2025-12-04 17:31:47.343178 | student001 | ['Multiple faces detected']
2025-12-04 17:31:47.431976 | student001 | ['Multiple faces detected']
2025-12-04 17:31:47.461664 | student001 | ['Multiple faces detected']
2025-12-04 17:31:47.548301 | student001 | ['Multiple faces detected']
2025-12-04 17:31:48.399961 | student001 | ['Multiple faces detected']
2025-12-04 17:31:48.572205 | student001 | ['Multiple faces detected']
2025-12-04 17:31:48.623669 | student001 | ['Multiple faces detected']
2025-12-04 17:31:48.698634 | student001 | ['Multiple faces detected']
2025-12-04 17:31:49.063415 | student001 | ['Multiple faces detected']
2025-12-04 17:31:49.137196 | student001 | ['Multiple faces detected']
2025-12-04 17:31:49.250944 | student001 | ['Multiple faces detected']
2025-12-04 17:31:49.397642 | student001 | ['Multiple faces detected']
2025-12-04 17:31:49.531910 | student001 | ['Multiple faces detected']
2025-12-04 17:31:49.778779 | student001 | ['Multiple faces detected']
2025-12-04 17:31:50.197247 | student001 | ['Multiple faces detected']
2025-12-04 17:31:50.303036 | student001 | ['Multiple faces detected']
2025-12-04 17:31:50.515470 | student001 | ['Multiple faces detected']
2025-12-04 17:31:50.751115 | student001 | ['Multiple faces detected']
2025-12-04 17:31:51.041829 | student001 | ['Multiple faces detected']
2025-12-04 17:31:51.068553 | student001 | ['Multiple faces detected']
2025-12-04 17:31:51.206837 | student001 | ['Multiple faces detected']
2025-12-04 17:31:51.363712 | student001 | ['Multiple faces detected']
2025-12-04 17:31:51.440432 | student001 | ['Multiple faces detected']
2025-12-04 17:31:51.675012 | student001 | ['Multiple faces detected']
2025-12-04 17:31:52.294624 | student001 | ['Multiple faces detected']
2025-12-04 17:31:52.376593 | student001 | ['Multiple faces detected']
2025-12-04 17:31:52.572562 | student001 | ['Multiple faces detected']
2025-12-04 17:31:52.638001 | student001 | ['Multiple faces detected']
2025-12-04 17:31:52.943250 | student001 | ['Multiple faces detected']
2025-12-04 17:31:52.964663 | student001 | ['Multiple faces detected']
2025-12-04 17:31:53.128141 | student001 | ['Multiple faces detected']
2025-12-04 17:31:53.362525 | student001 | ['No face detected']
2025-12-04 17:31:53.902350 | student001 | ['No face detected']
2025-12-04 17:31:54.412449 | student001 | ['No face detected']
2025-12-04 17:31:54.565177 | student001 | ['No face detected']
2025-12-04 17:31:54.858842 | student001 | ['No face detected']
2025-12-04 17:31:54.858842 | student001 | ['No face detected']
2025-12-04 17:31:55.285804 | student001 | ['Multiple faces detected']
2025-12-04 17:31:55.303155 | student001 | ['Multiple faces detected']
2025-12-04 17:31:55.395344 | student001 | ['Multiple faces detected']
2025-12-04 17:31:55.396341 | student001 | ['Multiple faces detected']
2025-12-04 17:31:55.576283 | student001 | ['Multiple faces detected']
2025-12-04 17:31:57.148091 | student001 | ['Multiple faces detected']
2025-12-04 17:31:57.148091 | student001 | ['Multiple faces detected']
2025-12-04 17:31:57.148091 | student001 | ['Multiple faces detected']
2025-12-04 17:31:57.248355 | student001 | ['Multiple faces detected']
2025-12-04 17:31:57.256896 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.042648 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.127801 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.127801 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.145254 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.145254 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.984362 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.985584 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.988783 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.990778 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.996112 | student001 | ['Multiple faces detected']
2025-12-04 17:32:00.904319 | student001 | ['Multiple faces detected']
2025-12-04 17:32:00.947388 | student001 | ['Multiple faces detected']
2025-12-04 17:32:00.904319 | student001 | ['Multiple faces detected']
2025-12-04 17:32:01.129777 | student001 | ['Multiple faces detected']
