2026-01-17 14:17:46.324540 | student1 | ['No face detected']
2026-01-25 17:49:38.413580 | student1 | ['No face detected']
2026-01-25 17:49:41.951768 | student1 | ['No face detected']
2026-01-26 14:30:50.493894 | student1 | ['No face detected']
2026-01-31 14:15:48.042678 | student1 | ['No face detected']
2026-01-31 14:15:51.694194 | student1 | ['No face detected']
2026-01-31 14:15:56.564472 | student1 | ['No face detected']
2026-01-31 14:16:01.565195 | student1 | ['No face detected']
2026-01-31 14:16:27.111572 | student1 | ['No face detected']
2026-02-02 13:53:19.678517 | student1 | ['No face detected']
2026-02-02 13:53:22.860505 | student1 | ['No face detected']
2026-02-02 13:53:27.838104 | student1 | ['No face detected']
2026-02-02 13:53:32.822645 | student1 | ['No face detected']
2026-02-02 13:54:11.335233 | student1 | ['No face detected']
2026-02-02 13:54:14.355776 | student1 | ['No face detected']
2026-02-02 13:54:19.350140 | student1 | ['No face detected']
2026-02-02 13:54:24.358927 | student1 | ['No face detected']
2026-02-02 13:54:29.356794 | student1 | ['No face detected']
2026-02-02 13:54:34.352662 | student1 | ['No face detected']
2026-02-02 13:55:59.376532 | student1 | ['No face detected']
2026-02-02 13:56:03.469500 | student1 | ['No face detected']
2026-02-02 13:56:08.436870 | student1 | ['No face detected']
2026-02-02 13:56:13.465126 | student1 | ['No face detected']
2026-02-02 13:56:23.454556 | student1 | ['No face detected']
2026-02-02 13:56:33.461915 | student1 | ['No face detected']
2026-02-02 13:56:38.425554 | student1 | ['No face detected']
2026-02-02 13:56:43.413525 | student1 | ['No face detected']
2026-02-02 13:56:48.430087 | student1 | ['No face detected']
2026-02-02 13:56:53.413980 | student1 | ['No face detected']
2026-02-02 13:56:58.412267 | student1 | ['No face detected']
2026-02-02 13:57:03.441940 | student1 | ['No face detected']
2026-02-02 13:57:08.415386 | student1 | ['No face detected']
2026-02-02 13:59:02.809052 | student1 | ['No face detected']
2026-02-02 13:59:06.711154 | student1 | ['No face detected']
2026-02-02 13:59:11.730445 | student1 | ['No face detected']
2026-02-02 13:59:16.752146 | student1 | ['No face detected']
2026-02-02 13:59:21.739074 | student1 | ['No face detected']
2026-02-03 11:13:57.520553 | student1 | ['No face detected']
2026-02-03 23:30:14.831419 | student1 | ['No face detected']
2026-02-03 23:30:19.830093 | student1 | ['No face detected']
2026-02-03 23:35:15.104918 | student_001 | ['No face detected']
2026-02-03 23:35:18.952883 | student_001 | ['No face detected']
2026-02-03 23:35:23.946232 | student_001 | ['No face detected']
2026-02-04 10:27:26.860157 | student_001 | ['No face detected']
2026-02-04 10:27:30.311045 | student_001 | ['No face detected']
2026-02-04 10:27:35.309238 | student_001 | ['No face detected']
2026-02-04 14:17:18.021507 | student_001 | ['No face detected']
2026-02-04 14:17:23.037596 | student_001 | ['No face detected']
