2026-01-25 17:50:04.792876 | student_001 | Screen captured
2026-01-25 17:50:08.874069 | student_001 | Screen captured
2026-01-26 14:31:12.847093 | student_001 | Screen captured
2026-01-26 14:31:17.783003 | student_001 | Screen captured
2026-01-27 22:04:06.804191 | student_001 | Screen captured
2026-01-27 22:04:10.792834 | student_001 | Screen captured
2026-01-27 22:04:15.765151 | student_001 | Screen captured
2026-01-27 22:04:22.491021 | student_001 | Screen captured
2026-01-31 14:16:44.345501 | student_001 | Screen captured
2026-01-31 14:16:49.270789 | student_001 | Screen captured
2026-01-31 14:16:54.257676 | student_001 | Screen captured
2026-01-31 14:16:59.254702 | student_001 | Screen captured
2026-01-31 14:17:04.274759 | student_001 | Screen captured
2026-01-31 14:17:09.278504 | student_001 | Screen captured
2026-01-31 14:17:14.299286 | student_001 | Screen captured
2026-01-31 14:17:19.262519 | student_001 | Screen captured
2026-01-31 14:17:24.314095 | student_001 | Screen captured
2026-01-31 14:17:29.308711 | student_001 | Screen captured
2026-01-31 14:17:35.297101 | student_001 | Screen captured
2026-01-31 14:17:40.298598 | student_001 | Screen captured
2026-01-31 14:17:45.304351 | student_001 | Screen captured
2026-01-31 14:17:50.303012 | student_001 | Screen captured
2026-01-31 14:17:55.299806 | student_001 | Screen captured
2026-01-31 14:18:00.320298 | student_001 | Screen captured
2026-01-31 14:18:05.308176 | student_001 | Screen captured
2026-02-02 13:57:27.895906 | student_001 | Screen captured
2026-02-02 13:57:32.846703 | student_001 | Screen captured
2026-02-02 13:57:38.830491 | student_001 | Screen captured
2026-02-02 13:57:43.832078 | student_001 | Screen captured
2026-02-02 13:57:48.749377 | student_001 | Screen captured
2026-02-02 13:57:52.822907 | student_001 | Screen captured
2026-02-02 13:57:57.658094 | student_001 | Screen captured
2026-02-02 14:00:05.553709 | student_001 | Screen captured
2026-02-02 14:00:10.539634 | student_001 | Screen captured
2026-02-02 14:00:15.689077 | student_001 | Screen captured
2026-02-02 14:04:49.511239 | student_001 | Screen captured
2026-02-02 14:04:57.842139 | student_001 | Screen captured
2026-02-02 14:04:59.401582 | student_001 | Screen captured
2026-02-02 14:05:04.396226 | student_001 | Screen captured
2026-02-02 14:05:09.847978 | student_001 | Screen captured
2026-02-02 14:08:14.906403 | student_001 | Screen captured
2026-02-02 14:08:19.844055 | student_001 | Screen captured
