2025-11-26 17:56:57.539572 | student1 | ['No face detected']
2025-11-26 17:57:02.252666 | student1 | ['No face detected']
2025-11-26 17:57:22.235241 | student1 | ['No face detected']
2025-11-26 17:57:27.224805 | student1 | ['No face detected']
2025-11-26 17:57:37.224122 | student1 | ['No face detected']
2025-11-26 17:57:57.384605 | student1 | ['No face detected']
2025-11-26 17:58:07.587311 | student1 | ['No face detected']
2025-11-26 18:01:58.709759 | student1 | ['No face detected']
2025-11-26 18:02:03.572639 | student1 | ['No face detected']
2025-11-26 18:02:07.251838 | student1 | ['No face detected']
2025-11-26 18:03:09.607956 | student1 | ['No face detected']
2025-11-26 18:03:14.611131 | student1 | ['No face detected']
2025-11-26 18:03:19.578092 | student1 | ['No face detected']
2025-11-26 18:03:24.584963 | student1 | ['No face detected']
2025-11-26 18:03:39.574553 | student1 | ['No face detected']
2025-11-26 18:03:54.644585 | student1 | ['No face detected']
2025-11-26 18:04:34.637250 | student1 | ['No face detected']
2025-11-26 18:05:31.079228 | student1 | ['No face detected']
2025-11-26 18:05:49.526244 | student1 | ['Multiple faces detected']
2025-11-26 18:06:47.636000 | student1 | ['Multiple faces detected']
2025-11-26 18:06:57.627141 | student1 | ['Multiple faces detected']
2025-11-26 18:07:07.668284 | student1 | ['Multiple faces detected']
2025-11-26 18:07:54.596258 | student1 | ['No face detected']
2025-11-26 18:08:14.593217 | student1 | ['No face detected']
